latitude,longitude,altitude,geometry,coordinates,@id,area,public_transport,railway,ref,name,train,amenity,barrier,surface,departures_board,subway,lit,shelter,layer,level,tactile_paving,to,network,operator
28.5875833,77.2542749,,Polygon,"77.2542749,28.5875833,77.254301,28.5872703,77.2543131,28.5870477,77.2543882,28.5864636,77.2544029,28.5864625,77.2543633,28.5875536,77.2541989,28.5911582,77.2541749,28.5914048,77.254132,28.5918652,77.2540998,28.5918629,77.2542749,28.5875833",way/77882533,yes,platform,platform,4;5,,yes,,,,,,,,,,,,,
28.5811727,77.1973976,,Polygon,"77.1973976,28.5811727,77.1974048,28.5812122,77.1966097,28.581283,77.1952539,28.5813802,77.1952522,28.5813381,77.1973976,28.5811727",way/77882918,yes,,platform,,,,,,,,,,,,,,,,
28.5788331,77.2291547,,Polygon,"77.2291547,28.5788331,77.2291566,28.5788725,77.2279096,28.5788815,77.2270147,28.5789308,77.226834,28.5789027,77.227586,28.5788521,77.2280393,28.5788268,77.2291547,28.5788331",way/77882924,yes,,platform,,,,,,,,,,,,,,,,
28.5812294,77.195247,,Polygon,"77.195247,28.5812294,77.1952407,28.5811974,77.1973844,28.58104,77.1973851,28.5810673,77.195247,28.5812294",way/77882956,yes,,platform,,,,,,,,,,,,,,,,
28.5796454,77.2157267,,Polygon,"77.2157267,28.5796454,77.2157197,28.5796144,77.2177865,28.5794619,77.2177933,28.5794948,77.2174609,28.5795159,77.2157267,28.5796454",way/77882957,yes,,platform,,,,,,,,,,,,,,,,
28.5796217,77.2175928,,Polygon,"77.2175928,28.5796217,77.2178342,28.5796024,77.2178359,28.5796353,77.2158559,28.5797848,77.2155954,28.5797983,77.215592,28.5797728,77.2158622,28.5797512,77.2175928,28.5796217",way/77882958,yes,,platform,,,,,,,,,,,,,,,,
28.5787802,77.2268122,,Polygon,"77.2268122,28.5787802,77.2268055,28.5787366,77.2279572,28.5786694,77.2291498,28.5786798,77.2291509,28.5787138,77.2280427,28.5787075,77.227575,28.5787265,77.2268122,28.5787802",way/77882959,yes,,platform,,,,,,,,,,,,,,,,
28.5058318,77.2964033,,Polygon,"77.2964033,28.5058318,77.297023,28.5038546,77.2972606,28.5029969,77.2972956,28.5029445,77.2974017,28.502866,77.2972705,28.5032708,77.2973361,28.5033763,77.2972482,28.5036657,77.2971106,28.5037861,77.2970988,28.503873,77.2964591,28.505849,77.2964033,28.5058318",way/172688685,yes,platform,platform,,,yes,,,,,,,,,,,,,
28.5027713,77.2971472,,Polygon,"77.2971472,28.5027713,77.2968581,28.5037046,77.2967567,28.5040219,77.2964199,28.5050766,77.2962008,28.5050237,77.296408,28.5044609,77.2966009,28.5039716,77.2970821,28.5027514,77.2971472,28.5027713",way/172688690,yes,,platform,,,,,,,,,,,,,,,,
28.6537968,77.123922,,Polygon,"77.123922,28.6537968,77.1240354,28.6540663,77.1240087,28.6541318,77.1239607,28.6542254,77.1239207,28.6542675,77.1235475,28.6543985,77.1231449,28.6545202,77.1230196,28.6541856,77.1232154,28.6541326,77.1232621,28.6540238,77.123922,28.6537968",way/292045086,,,platform,,,,bus_station,wall,,,,,,,,,,,
28.6471524,77.3124689,,Polygon,"77.3124689,28.6471524,77.3125329,28.6470811,77.3129654,28.647377,77.3132962,28.647617,77.3167822,28.6504028,77.3170363,28.6506199,77.3172387,28.6507916,77.3171397,28.6508685,77.3169735,28.6507151,77.3167687,28.6505508,77.3127748,28.6474208,77.3125791,28.647259,77.3124689,28.6471524",way/366772311,yes,platform,platform,,,,,,,,,,,,,,,,
28.6511896,77.3178226,,Polygon,"77.3178226,28.6511896,77.3176315,28.650968,77.3174178,28.650749,77.317193,28.6505437,77.3169209,28.6503286,77.3133982,28.6475148,77.3126477,28.6469593,77.3127437,28.6468616,77.3171478,28.6503406,77.3175019,28.6506607,77.3177326,28.6509149,77.3179579,28.6511833,77.3178667,28.6512386,77.3178226,28.6511896",way/366772319,yes,platform,platform,,,,,,,,,,,,,,,,
28.6647613,77.1824411,,Polygon,"77.1824411,28.6647613,77.1824286,28.6647352,77.1851864,28.6640419,77.1851968,28.6640643,77.1852056,28.6640856,77.1847865,28.664211,77.184495,28.6642968,77.1836167,28.6645223,77.1833309,28.6645863,77.182794,28.6646973,77.1824411,28.6647613",way/387410437,yes,,platform,,,,,,,,,,,,,,,,
28.6621376,77.1890716,,Polygon,"77.1890716,28.6621376,77.1854524,28.6632334,77.1838934,28.6637054,77.1838588,28.6636174,77.189037,28.6620496,77.1890716,28.6621376",way/387410456,yes,platform,platform,"2, 3",,yes,,,concrete,,,,,,,,,,
