latitude,longitude,altitude,geometry,coordinates,@id,barrier,leisure,type,admin_level,boundary,name,wikidata,description,access,operator,layer,name:zh,old_name,addr:city,addr:postcode,addr:street,opening_hours,name:en,name:fa,name:es,wikipedia,addr:housenumber,natural,name:hi,name:de,name:ur,tourism,historic,int_name,designation,place,is_in,landuse,source,surface,man_made,opening_hours:covid19,religion,website,note,grass,grassland,amenity,building,addr:suburb,addr:neighbourhood,playground,water,fountain,addr:block,addr:city:en,alt_name,alt_name:hi,dog,addr:place,smoking,source:boundary,residential
,,,Polygon,"77.2178738,28.5314432,77.2183852,28.5314734,77.2183028,28.5318503,77.2178601,28.5317809,77.2178738,28.5314432",way/43316681,wall,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2140454,28.5330715,77.2142096,28.5328638,77.2146299,28.5331292,77.2146463,28.5332301,77.2140454,28.5330715",way/43325258,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2186784,28.5303466,77.2187464,28.5304344,77.2187404,28.5306824,77.2154969,28.529959,77.2155601,28.5297259,77.2186784,28.5303466",way/43325260,,park,,,,Jamun Wala Park,,,,Select Citywalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.1854974,28.5400073,77.1853461,28.5396574,77.1856964,28.5395355,77.1857673,28.5397257,77.1859184,28.5397093,77.1859703,28.5398625,77.1854974,28.5400073",way/44091399,,park,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.1844828,28.5395796,77.1843454,28.5392855,77.184869,28.5391196,77.1849977,28.5394061,77.1844828,28.5395796",way/44128936,,park,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2119806,28.6136379,77.2103576,28.6137092,77.2103311,28.6136131,77.2102681,28.6136233,77.2102797,28.6136655,77.2094874,28.6137746,77.2094218,28.6136708,77.2093385,28.6136098,77.2092572,28.6135502,77.209229,28.6124944,77.2093047,28.6123828,77.2093239,28.6122681,77.2092992,28.6121367,77.2095077,28.6120365,77.2096199,28.612257,77.2117804,28.6121613,77.2118218,28.6127076,77.2119843,28.6128453,77.2119806,28.6136379",way/44186065,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2086578,28.6135817,77.2085821,28.6135903,77.2085809,28.6136489,77.2074928,28.6137426,77.2074774,28.6123485,77.2082506,28.6123262,77.2082615,28.6122003,77.208295,28.6121068,77.208471,28.612177,77.2084483,28.6122845,77.2084628,28.6123782,77.2085061,28.6124648,77.2085749,28.6125376,77.2085936,28.612622,77.2086578,28.6135817",way/44186067,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2075398,28.6142056,77.2076005,28.6142044,77.208642,28.6141843,77.2086452,28.6142488,77.2087033,28.6142483,77.2087485,28.6152934,77.208689,28.6153819,77.2086649,28.615493,77.2086649,28.6155671,77.2086855,28.615643,77.208533,28.615728,77.2084671,28.61555,77.2076813,28.6155811,77.2075398,28.6142056",way/44186069,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2062016,28.5695058,77.2071835,28.5693948,77.2108061,28.5692184,77.2102631,28.5694732,77.2091994,28.5718054,77.2083216,28.5708777,77.2062016,28.5695058",way/44315445,,park,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.1940932,28.5957938,77.1937136,28.5956621,77.1929646,28.5942019,77.1899536,28.5883314,77.1894051,28.587262,77.189658,28.5868929,77.1908385,28.5863779,77.1925888,28.5854155,77.1930257,28.585546,77.1934157,28.586247,77.1956646,28.5907349,77.1960089,28.5951457,77.1957705,28.5953628,77.1940932,28.5957938",way/44351565,,park,,,,Nehru Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.1930469,28.6028159,77.1931131,28.6027377,77.1936466,28.6025769,77.1937088,28.602578,77.1951094,28.6031654,77.1945909,28.6037357,77.1941337,28.6039521,77.1935548,28.6041139,77.192904,28.6041342,77.1927046,28.6041113,77.1930469,28.6028159",way/44352051,,park,,,,National Police Memorial Garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.0686685,28.6276717,77.0689794,28.6270619,77.0693242,28.6271974,77.0690132,28.6278071,77.0686685,28.6276717",way/55207539,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2280033,28.6144353,77.2278035,28.611654,77.2281185,28.6110832,77.2296091,28.6102313,77.2306705,28.6096248,77.2313211,28.6096382,77.2325377,28.6102041,77.2341099,28.6109355,77.2343338,28.6112623,77.2344122,28.6125048,77.2344307,28.6127982,77.234534,28.6141245,77.2343272,28.6144547,77.2316058,28.6160256,77.2310528,28.6160374,77.2282893,28.6147864,77.2280033,28.6144353",way/58719250,,park,,,,India Gate Park,,,,,,印度门,Prince's Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.3109209,28.6334399,77.3110409,28.6331721,77.3113619,28.6332828,77.3112419,28.6335507,77.3109209,28.6334399",way/76727459,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.3106039,28.6359798,77.311543,28.635211,77.3116989,28.6352553,77.3114167,28.6359983,77.3106039,28.6359798",way/76727481,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.3111481,28.6343859,77.3113368,28.6339618,77.3121528,28.6342415,77.311964,28.6346656,77.3111481,28.6343859",way/76727483,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.3108208,28.6327039,77.3110959,28.6320661,77.3128513,28.6326494,77.3125762,28.6332872,77.3108208,28.6327039",way/76727496,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.312761,28.6333513,77.3130508,28.6327078,77.3141286,28.6330818,77.3138387,28.6337252,77.312761,28.6333513",way/76727516,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.3099177,28.6099513,77.3100191,28.6096792,77.3102395,28.6097425,77.3101381,28.6100147,77.3099177,28.6099513",way/76849164,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2968141,28.6184206,77.2969928,28.6178368,77.2973253,28.6178237,77.2975684,28.6182332,77.2974493,28.6185948,77.2968141,28.6184206",way/76849173,wall,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
