latitude,longitude,altitude,geometry,coordinates,@id,amenity,building,name,type,shop,landuse,tourism,area,highway,addr:housenumber,addr:street,barrier,operator,addr:city,addr:postcode,check_date,opening_hours,wheelchair,building:levels,toilets:wheelchair,wikidata,opening_hours:cinema,opening_hours:restaurant,source,alt_name,access,phone,addr:district,name:en,name:hi,indoor:area,indoor:level,male,fee,toilets:disposal,layer,description,note,female,level,website,designation,fax,place,payment:bitcoin,payment,tactile_paving,unisex,changing_table,address,crossing,disused:amenity
28.5809658,77.0639755,,Polygon,"77.0639755,28.5809658,77.0636808,28.5806027,77.0638897,28.5804719,77.0641844,28.580835,77.0639755,28.5809658",way/154162075,marketplace,,Sector 9 Market,,,,,,,,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5883334,77.0431671,,Polygon,"77.0431671,28.5883334,77.0428237,28.5879304,77.0429019,28.5872765,77.0446292,28.586139,77.0448468,28.5864077,77.043803,28.5871183,77.0435139,28.5872944,77.0432623,28.5875124,77.0432249,28.5879035,77.0434187,28.5881453,77.0431671,28.5883334",way/154186647,marketplace,,Sector - 11 market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.629589,77.0792497,,Polygon,"77.0792497,28.629589,77.0797969,28.6294007,77.0801777,28.6295655,77.0799331,28.6302278,77.0791016,28.6298887,77.0792497,28.629589",way/154330052,,,WEST MALL,,mall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5362792,77.2493227,,Polygon,"77.2493227,28.5362792,77.2503082,28.5365335,77.2493751,28.5370486,77.2490175,28.5372818,77.2487488,28.5369368,77.2493227,28.5362792",way/154712258,police,yes,CR Park Police Station,,,,,,,,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5598376,77.2619985,,Polygon,"77.2619985,28.5598376,77.2636287,28.5578991,77.2643747,28.5583831,77.2627445,28.5603216,77.2619985,28.5598376",way/168615309,marketplace,,Greengrocer market,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5684487,77.240258,,Polygon,"77.240258,28.5684487,77.2401354,28.5681985,77.2404346,28.5680855,77.2404016,28.5680183,77.240479,28.567989,77.2404611,28.5679525,77.2406031,28.5678988,77.2406517,28.5679978,77.2405193,28.5680478,77.2406442,28.5683028,77.240258,28.5684487",way/169412325,police,yes,Lajpat Nagar Police Station,,,,,,,,,,Delhi Police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6900501,77.1333715,,Polygon,"77.1333715,28.6900501,77.1349176,28.6894858,77.1349753,28.6903259,77.1337206,28.6907257,77.1333715,28.6900501",way/171605367,,yes,Aggarwal City Mall,,mall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5346134,77.2911162,,Polygon,"77.2911162,28.5346134,77.2917454,28.5349049,77.2918614,28.5352124,77.2917848,28.5354378,77.2906114,28.5349205,77.290838,28.5346887,77.2911162,28.5346134",way/172774979,marketplace,yes,H- pocket market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5421374,77.1546867,,Polygon,"77.1546867,28.5421374,77.1540001,28.541176,77.1543005,28.5409875,77.1541288,28.5407519,77.1542039,28.5406671,77.1544399,28.5405917,77.1546545,28.5404786,77.1547189,28.5403749,77.1548798,28.5402712,77.1550515,28.5403749,77.1551564,28.5405227,77.1553458,28.5407895,77.1555414,28.5410651,77.1556201,28.541176,77.1557703,28.541242,77.1558857,28.5413716,77.1558749,28.5415695,77.1558025,28.5416473,77.1557167,28.5417887,77.1557355,28.5419182,77.1556201,28.5420149,77.1555236,28.5420149,77.1553197,28.5418829,77.1551695,28.5418641,77.1546867,28.5421374",way/179846605,,yes,Ambience Mall,,mall,,,,,2,Nelson Mandela Marg,,,New Delhi,110070,11/10/2019,10:00-22:00,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5352011,77.1521073,,Polygon,"77.1521073,28.5352011,77.1520855,28.5354645,77.1516411,28.5357015,77.1513274,28.5352476,77.1521486,28.5348096,77.152262,28.5349737,77.1520342,28.5350953,77.1521073,28.5352011",way/190291268,police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
