latitude,longitude,altitude,geometry,coordinates,@id,access,addr:postcode,addr:street,building,castle_type,height,historic,name,name:en,old_name,opening_hours,phone,tourism,type,website,wikidata,barrier,wikipedia,building:levels,alt_name,building:material,building:colour,historic:civilization,landuse,operator,area,building:height,min_height,amenity,religion,leisure,man_made,material,natural,name:de,name:uk,name:ur,start_date,denomination,place_of_worship,addr:city,addr:country,heritage:operator,is_in:city,is_in:continent,is_in:country,is_in:country_code,is_in:iso_3166_2,name:az,name:bn,name:el,name:es,name:ja,name:ka,name:ko,name:th,ref:whc,whc:criteria,whc:inscription_date,wikipedia:en,source,addr:housenumber,addr:state,name:cs,name:fa,name:id,name:vi,short_name:zh,description,name:be,name:fr,name:gu,name:it,name:mr,name:ne,name:nl,name:pt,name:sa,name:te,wheelchair,cemetery,memorial,roof:shape,tomb,bicycle,note,is_in,name:ca,url,wikimedia_commons,inscription
28.5607662,77.2346525,,Point,,node/2715322918,,,,,,,archaeological_site,Langer Khan s Tomb Gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6144792,76.9845257,,Point,,node/2715424799,,,,,,,archaeological_site,Dharamshala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6129675,76.9844721,,Point,,node/2715424803,,,,,,,archaeological_site,1920 s House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6129863,76.9844292,,Point,,node/2715424806,,,,,,,archaeological_site,Gateway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6129908,76.9854428,,Point,,node/2715424809,,,,,,,archaeological_site,Jami Mosque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6102314,76.9832007,,Point,,node/2715424836,,,,,,,archaeological_site,Octagonal Well,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6075467,76.946937,,Point,,node/2715465970,,,,,,,archaeological_site,Domed Chattri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6078036,76.9413207,,Point,,node/2715465972,,,,,,,archaeological_site,Dalan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6072927,76.9462613,,Point,,node/2715465975,,,,,,,archaeological_site,Ruins of Haveli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6073821,76.9467388,,Point,,node/2715465977,,,,,,,archaeological_site,Haveli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6150749,77.0121927,,Point,,node/2715465980,,,,,,,archaeological_site,Tomb of Rana Sahib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6072456,76.9469855,,Point,,node/2715465983,,,,,,,archaeological_site,Samadhi of Mitr Sen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.610269,76.9830988,,Point,,node/2715465985,,,,,,,archaeological_site,Mosque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6338252,77.0572579,,Point,,node/2715609613,,,,,,,archaeological_site,Minar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6333756,77.0560871,,Point,,node/2715609618,,,,,,,archaeological_site,Dalans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6332343,77.056012,,Point,,node/2715609623,,,,,,,archaeological_site,Hathi Khana,,,,,,,,,,,,Barat Ghar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6464247,77.2450052,,Point,,node/2722906932,,,,,,,archaeological_site,Ghata Masjid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5413853,77.2149994,,Point,,node/2804122830,,,,,,,archaeological_site,Old Stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5408508,77.2156244,,Point,,node/2804122868,,,,,,,archaeological_site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5413688,77.215359,,Point,,node/2804122879,,,,,,,archaeological_site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5414438,77.213491,,Point,,node/2804122882,,,,,,,archaeological_site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5520245,77.2056535,,Point,,node/2804161212,,,,,,,archaeological_site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5527752,77.2021258,,Point,,node/2804161213,,,,,,,archaeological_site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5532274,77.2018725,,Point,,node/2804161214,,,,,,,archaeological_site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5534722,77.2036048,,Point,,node/2804161215,,,,,,,archaeological_site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.553365,77.2038045,,Point,,node/2804161216,,,,,,,archaeological_site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
