latitude,longitude,altitude,geometry,coordinates,@id,amenity,type,addr:city,addr:street,building,name,name:de,name:en,name:es,name:fa,name:hi,name:ru,name:zh,opening_hours,phone,religion,tourism,website,wikidata,wikipedia,access,addr:postcode,castle_type,height,historic,name:ar,name:he,name:ml,name:ta,old_name,barrier,denomination,krishna,alt_name,name:fr,name:it,name:pt,name:uk,start_date,source,building:levels,building:material,building:colour,historic:civilization,landuse,operator,area,building:height,min_height,fixme,leisure,man_made,note,material,addr:housename,natural,name:ur,place_of_worship,addr:country,heritage:operator,is_in:city,is_in:continent,is_in:country,is_in:country_code,is_in:iso_3166_2,name:az,name:bn,name:el,name:ja,name:ka,name:ko,name:th,ref:whc,whc:criteria,whc:inscription_date,wikipedia:en,addr:housenumber,addr:state,name:cs,name:id,name:vi,short_name:zh,int_name,description,name:be,name:gu,name:mr,name:ne,name:nl,name:sa,name:te,wheelchair,length,name:pa,width,cemetery,memorial,roof:shape,addr:suburb,service_times,tomb,bicycle,opening_hours:covid19,created_by,is_in,name:ca,url,wikimedia_commons,addr:place,addr:unit,level,addr:district,addr:subdistrict,inscription,addr:full
,,,Polygon,"77.2240192,28.6684053,77.2243256,28.6681858,77.2262151,28.6686972,77.2263891,28.6688916,77.2263107,28.6689592,77.2264094,28.6690426,77.2265797,28.6691513,77.2268517,28.6692008,77.2266088,28.6699476,77.2262679,28.669853,77.2262045,28.6700616,77.2258683,28.6702132,77.224551,28.6696572,77.2243111,28.6694294,77.2239188,28.6693191,77.224015,28.6689134,77.2240336,28.6686688,77.2240192,28.6684053",way/80431099,,,,,,Nicholson Road Cemetery,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,cemetery,ASI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2418711,28.6118288,77.2421912,28.6121267,77.2423116,28.6121697,77.2424873,28.6121754,77.2428473,28.611848,77.2430294,28.6117528,77.2432918,28.6114292,77.2434046,28.6113492,77.2439077,28.6109951,77.2439836,28.6109856,77.2440812,28.6109132,77.2440769,28.6108523,77.24476,28.6103154,77.2448337,28.6103402,77.2453303,28.6099137,77.2455862,28.6097595,77.2455342,28.6096986,77.2457142,28.6095863,77.2457619,28.6096415,77.2460741,28.6092912,77.2468917,28.6085011,77.2470522,28.6083983,77.2471736,28.6083659,77.2473623,28.6081736,77.2473883,28.6080289,77.2473233,28.607928,77.2465642,28.6075244,77.2456664,28.6069862,77.2456948,28.6069359,77.2473666,28.6078614,77.2474577,28.6078443,77.2475228,28.6078652,77.2475596,28.6079166,77.2475553,28.6079699,77.2474946,28.6080099,77.2474772,28.6080518,77.2474295,28.6081603,77.2471866,28.6084116,77.2470869,28.608484,77.2467681,28.6087448,77.2467356,28.6087162,77.2457839,28.6096983,77.245339,28.6099747,77.2448715,28.610378,77.2448438,28.6104799,77.2447578,28.6105458,77.2446689,28.6105629,77.2439536,28.6111353,77.2438927,28.6111353,77.2433721,28.6114863,77.2431162,28.6118175,77.2429449,28.6118975,77.2424895,28.6123201,77.2424764,28.6123601,77.2424764,28.6124248,77.2424244,28.6124724,77.2423355,28.6124781,77.2422813,28.6124496,77.2422509,28.612383,77.2422552,28.6123392,77.2417608,28.6118899,77.2418711,28.6118288",way/80439684,,,,,yes,,,,,,,,,,,,,,,,,,,,citywalls,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2504152,28.5935086,77.2503813,28.5934728,77.250384,28.5933713,77.2504182,28.593337,77.2504204,28.5932099,77.2503917,28.5931823,77.2503943,28.5931061,77.2504325,28.5930587,77.2505534,28.593059,77.2505841,28.5930875,77.2507319,28.5930889,77.2507632,28.5930657,77.2508717,28.5930677,77.2509156,28.5931059,77.2509115,28.5932064,77.2508704,28.593222,77.2508666,28.593358,77.2509049,28.5933819,77.2508997,28.5934917,77.2508658,28.5935195,77.250741,28.5935158,77.2507156,28.5934899,77.2505718,28.5934874,77.2505459,28.5935119,77.2504152,28.5935086",way/80440820,,building,,,,Humayun Tomb,,,,,,,,,,,,,,,,,,,monument,,,,,,,,,,,,,,,,,,,,,,,20,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2037047,28.6175264,77.205543,28.6174246,77.2057217,28.6176375,77.2059642,28.617772,77.2060791,28.6200188,77.2058429,28.6201701,77.2037685,28.6192456,77.2037047,28.6175264",way/80926761,place_of_worship,,New Delhi,Gurudwara Rakabganj Road,,Gurudwara Shri Rakab Ganj Sahib,,,,,गुरुद्वारा रकब़गंज,,,,,sikh,,http://www.dsgmc.in,,,,110001,,,,,,,,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2066699,28.6289153,77.2066371,28.628916,77.206634,28.6288112,77.2066661,28.6288104,77.2066523,28.6284314,77.20687,28.6284252,77.2068839,28.6288054,77.2069214,28.6288045,77.2069246,28.6289094,77.2068877,28.6289102,77.2068889,28.6289431,77.2068071,28.6289454,77.2068082,28.6289748,77.2067325,28.6289769,77.2067314,28.6289475,77.2066712,28.6289492,77.2066699,28.6289153",way/80926769,place_of_worship,,,,yes,Sacred Heart Catholic Cathedral,,,,,,,,,,christian,,,,,,,,,,,,,,,,catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2415734,28.7087096,77.2390413,28.7093495,77.2385264,28.7068652,77.2409511,28.7065828,77.2415734,28.7087096",way/81056312,place_of_worship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,add religion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2021117,28.5529234,77.202085,28.5528726,77.2020464,28.5528166,77.2020138,28.5527619,77.2020687,28.5527254,77.2021369,28.5526967,77.2022096,28.5526681,77.2022659,28.5527176,77.2022882,28.5527619,77.2023163,28.5528179,77.2023297,28.5528491,77.2021903,28.5529104,77.2021443,28.5529325,77.2021117,28.5529234",way/86485341,,,,,,Barah Khamba,,,,,,,,,,,,,,,,,,,monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2018403,28.5532751,77.2018254,28.5532413,77.2018136,28.5532061,77.2018136,28.5531918,77.2018506,28.55318,77.201904,28.5531657,77.2019218,28.5532152,77.2019352,28.5532621,77.2018862,28.5532777,77.2018492,28.5532908,77.2018403,28.5532751",way/86485342,,,,,,Sakri Gumti,,,,,,,,,,,,,Q41515134,,,,,,monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2013004,28.5533507,77.2013835,28.5533272,77.2014072,28.5533494,77.2014265,28.5533872,77.2014443,28.5534236,77.2014562,28.5534497,77.2014117,28.5534666,77.2013642,28.5534862,77.2013242,28.5535018,77.2012856,28.5535148,77.2012634,28.5534692,77.201247,28.5534301,77.2012322,28.5534015,77.2012263,28.5533832,77.2012723,28.553365,77.2013004,28.5533507",way/86485344,,,,,,Chhoti Gumti,,,,,,,,,,,,,,,,,,,monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2037157,28.5534639,77.2037033,28.553278,77.2038969,28.553267,77.2039387,28.5534422,77.2037157,28.5534639",way/86485430,,,,,,Poti ka Maqbara,,,,,,,,,,,,,,,,,,,monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
